"Word (Full Name)","Overview","Usage","Examples","Quick Memory"
"1.3C分析","EN: A strategic framework analyzing three customer variables: Customer, Competitor, and Company.
JP: 顧客・競合・自社の3つの要素を分析する戦略フレームワーク","Used in marketing strategy to understand market position and find competitive advantages.","New product launch planning, Market entry strategy for startups, Annual marketing strategy review","EN: 3C = Customer, Competitor, Company.
JP: 3C = 顧客・競合・自社"
"2.ASP (Application Service Provider)","EN: A company that provides software applications over the internet.
JP: インターネット経由でソフトウェアを提供する事業者","Used by businesses to rent software instead of buying and installing it locally.","Salesforce CRM as a service, QuickBooks Online for accounting, Google Workspace for email and docs","EN: Software rental over internet.
JP: ソフトを借りて使う仕組み"
"3.BCP (Business Continuity Plan)","EN: A plan to keep business running during disasters or major disruptions.
JP: 災害時も事業を続けるための計画","Used by companies to prepare for earthquakes, cyberattacks, pandemics, or system failures.","Data backup at remote site, Alternate office setup, Employee communication protocol during crisis","EN: Keep business alive during disaster.
JP: 災害時に事業を止めない計画"
"4.BPM (Business Process Management)","EN: A discipline to improve, manage, and automate business processes.
JP: 業務プロセスを改善・管理・自動化する手法","Used to make workflows more efficient, reduce errors, and cut costs.","Invoice approval automation, Customer complaint handling, Employee onboarding process redesign","EN: Manage and improve workflows.
JP: 業務の流れ良くする管理"
"5.BPO (Business Process Outsourcing)","EN: Contracting business operations to an external provider.
JP: 業務を外部会社に委託すること","Used to reduce costs and focus on core business by outsourcing non-core tasks.","Payroll processing to ADP, Call center operations to a third party, IT helpdesk outsourcing","EN: Hire others to do back-office work.
JP: 業務を外注すること"
"6.BPR (Business Process Reengineering)","EN: Radically redesigning business processes from scratch for major improvements.
JP: 業務プロセスを根本から再設計すること","Used when a company needs dramatic cost reduction, quality improvement, or speed increase.","Ford's procurement process redesign, Insurance claim processing overhaul, Bank loan approval simplification","EN: Start from zero to transform processes.
JP: ゼロから業務を組み直す"
"7.BSC (Balanced Scorecard)","EN: A strategic performance management framework with four perspectives: Financial, Customer, Internal Process, Learning & Growth.
JP: 財務・顧客・内部プロセス・学習成長の4視点で業績を測る手法","Used to translate company strategy into measurable KPIs across all departments.","Retail chain tracking customer satisfaction, Manufacturer monitoring production efficiency, Hospital measuring patient care quality","EN: Measure strategy from four angles.
JP: 4つの視点で経営を評価"
"8.BTO (Build to Order)","EN: Manufacturing products only after receiving customer orders.
JP: 注文を受けてから生産する方式","Used to reduce inventory risk and customize products to customer needs.","Dell computers built per order, Custom car manufacturing, Tailored suit production","EN: Make after order, not before.
JP: 受注してから作る生産方式"
"9.BYOD (Bring Your Own Device)","EN: Company policy allowing employees to use personal devices for work.
JP: 従業員の私物端末を仕事に使うことを許可する方針","Used in companies to reduce hardware costs and let employees work on familiar devices.","Using personal iPhone for work email, Laptop with company VPN access, Bringing tablet to meetings for notes","EN: Work from your own phone/PC.
JP: 自分の端末を仕事で使う"
"10.CA (Certificate Authority)","EN: A trusted entity that issues digital certificates for secure communication.
JP: デジタル証明書を発行する信頼できる機関","Used to verify website identity and enable HTTPS for secure browsing.","VeriSign issuing SSL certificates, Let's Encrypt free certificates, Company internal CA for employee IDs","EN: Issuer of digital ID cards for websites.
JP: 電子証明書の発行機関"
"11.CAD (Computer-Aided Design)","EN: Software for creating precise 2D or 3D technical drawings.
JP: コンピュータを使って設計図を作成するソフト","Used by engineers, architects, and product designers to create and modify designs digitally.","AutoCAD for architectural plans, SolidWorks for mechanical parts, Fusion 360 for 3D printing models","EN: Digital drawing tool for designers.
JP: 設計図をパソコンで作る"
"12.CAPTCHA","EN: A test to tell humans and bots apart, often distorted text or image selection.
JP: 人間とbotを区別するテスト","Used on websites to prevent automated spam, fake account creation, and brute-force attacks.","Selecting traffic lights in images, Typing distorted letters for login, Checkbox I am not a robot","EN: Human-or-bot test.
JP: 人間かbotかを確かめる"
"13.CEO (Chief Executive Officer)","EN: The highest-ranking executive in a company, responsible for major decisions.
JP: 会社の最高経営責任者","Leads company strategy, represents the company to board and public, and has final authority.","Tim Cook of Apple, Satya Nadella of Microsoft, Founder-CEO of a startup","EN: Top boss of a company.
JP: 会社のトップ"
"14.CIO (Chief Information Officer)","EN: The executive in charge of IT strategy and computer systems.
JP: IT戦略と情報システムを統括する役職","Used to align technology investments with business goals and manage IT risks.","Migrating company to cloud, Leading digital transformation, Overseeing cybersecurity strategy","EN: Boss of company IT.
JP: IT全体の責任者"
"15.CRM (Customer Relationship Management)","EN: A strategy and software system to manage interactions with customers.
JP: 顧客関係管理","Used by sales, marketing, and support teams to track leads, manage contacts, and analyze customer data.","Salesforce tracking sales pipeline, HubSpot managing email campaigns, Zendesk handling support tickets","EN: Manage customer interactions systematically.
JP: 顧客情報を一括管理"
"16.CSF (Critical Success Factor)","EN: Key activities or conditions necessary for an organization to achieve its mission.
JP: 組織が成功するために不可欠な要素","Used in strategic planning to identify what must go right for the business to succeed.","For an airline: on-time departures, For an e-commerce site: website uptime, For a hospital: patient safety","EN: Must-have conditions for success.
JP: 成功に必須の条件"
"17.CSIRT (Computer Security Incident Response Team)","EN: A specialized team that handles cybersecurity incidents and breaches.
JP: サイバーセキュリティ事故に対応する専門チーム","Used to detect, analyze, contain, and recover from cyberattacks or system compromises.","Responding to ransomware attack, Investigating data breach, Managing DDoS attack mitigation","EN: Cyber emergency response team.
JP: セキュリティ事故対応チーム"
"18.CSR (Corporate Social Responsibility)","EN: A self-regulating business model that holds companies accountable to society and environment.
JP: 企業の社会的責任","Used by companies to improve public image, meet regulations, and attract responsible investors.","Reducing carbon emissions, Fair labor practices in supply chain, Donating percentage of profits to charity","EN: Business doing good for society.
JP: 会社の社会に対する責任"
"19.DFD (Data Flow Diagram)","EN: A diagram showing how data moves through a system, including sources, processes, and destinations.
JP: データの流れを図示したもの","Used by system analysts to document existing systems or design new ones.","Order processing system diagram, Student registration flow chart, ATM withdrawal data movement","EN: Map of data movement in a system.
JP: データの流れ図"
"20.DRAM (Dynamic Random Access Memory)","EN: A type of computer memory that stores each bit in a capacitor, requiring constant refresh.
JP: コンピュータの主記憶装置の一種","Used as the main memory (RAM) in computers, smartphones, and game consoles.","DDR4 RAM in laptops, GDDR6 in graphics cards, LPDDR in smartphones","EN: Main memory that needs refreshing.
JP: 、パソコンの主記憶"
